FIPS,county,state,Election2008Total,Election2008Dem,Election2008Rep,Election2012Total,Election2012Dem,Election2012Rep,URate2008,URate2009,URate2010,URate2011,URate2012
1001,Autauga,AL,23641.0,6093.0,17403.0,23909,6354.0,17366.0,4.5,8.7,7.7,7.8,6.5
1003,Baldwin,AL,81413.0,19386.0,61271.0,84988,18329.0,65772.0,4.1,8.7,8.7,8.0,6.8
1005,Barbour,AL,11630.0,5697.0,5866.0,11459,5873.0,5539.0,7.7,12.8,11.5,11.0,11.2
1007,Bibb,AL,8644.0,2299.0,6262.0,8391,2200.0,6131.0,5.1,11.9,10.1,9.5,7.6
1009,Blount,AL,24267.0,3522.0,20389.0,23980,2961.0,20741.0,4.1,8.9,8.8,8.0,6.2
1011,Bullock,AL,5415.0,4011.0,1391.0,5318,4058.0,1250.0,9.3,14.0,14.4,14.4,13.4
1013,Butler,AL,9709.0,4188.0,5485.0,9483,4367.0,5081.0,7.5,14.7,12.1,11.3,10.9
1015,Calhoun,AL,49242.0,16334.0,32348.0,46240,15500.0,30272.0,5.0,9.9,9.5,8.8,7.6
1017,Chambers,AL,14956.0,6799.0,8067.0,14562,6853.0,7596.0,12.8,17.7,13.4,10.9,9.3
1019,Cherokee,AL,9745.0,2306.0,7298.0,9761,2126.0,7494.0,5.0,10.4,9.1,8.4,7.1
1021,Chilton,AL,17785.0,3674.0,13960.0,17434,3391.0,13910.0,4.4,9.5,9.0,8.2,6.5
1023,Choctaw,AL,7894.0,3636.0,4223.0,7965,3785.0,4150.0,7.3,12.0,11.1,11.2,9.0
1025,Clarke,AL,13435.0,5914.0,7466.0,13827,6317.0,7463.0,7.9,14.8,15.3,14.8,12.1
1027,Clay,AL,6819.0,1760.0,4984.0,6640,1770.0,4802.0,7.0,15.0,13.6,11.4,9.3
1029,Cleburne,AL,6492.0,1168.0,5216.0,6302,971.0,5269.0,4.5,9.1,8.1,7.9,6.9
1031,Coffee,AL,20128.0,5079.0,14919.0,19715,4899.0,14638.0,4.2,7.6,7.3,6.9,6.2
1033,Colbert,AL,24843.0,9703.0,14739.0,23374,9160.0,13931.0,5.7,10.4,9.6,8.6,7.6
1035,Conecuh,AL,6943.0,3429.0,3470.0,7013,3551.0,3434.0,8.3,17.9,16.0,14.4,11.6
1037,Coosa,AL,5563.0,2273.0,3248.0,5243,2188.0,3028.0,7.3,14.4,12.5,10.6,8.2
1039,Covington,AL,15787.0,3240.0,12444.0,15415,3155.0,12148.0,5.2,9.6,8.9,8.6,7.5
1041,Crenshaw,AL,6291.0,1938.0,4319.0,6411,2048.0,4326.0,4.9,9.3,8.5,8.4,7.2
1043,Cullman,AL,35305.0,5864.0,28896.0,33178,4855.0,27930.0,4.3,9.1,8.5,7.8,6.4
1045,Dale,AL,19320.0,5270.0,13886.0,18551,5283.0,13105.0,4.7,8.6,8.3,8.2,7.3
1047,Dallas,AL,20852.0,13986.0,6798.0,20936,14599.0,6284.0,9.8,19.1,17.1,15.7,13.7
1049,De Kalb,AL,24015.0,5658.0,17957.0,23842,5235.0,18316.0,5.1,12.8,11.4,10.9,8.5
1051,Elmore,AL,34315.0,8301.0,25777.0,35440,8940.0,26223.0,4.5,8.4,8.4,8.1,6.8
1053,Escambia,AL,14674.0,5188.0,9375.0,14832,5476.0,9263.0,6.7,12.1,10.9,10.2,8.9
1055,Etowah,AL,44737.0,13497.0,30595.0,42490,12792.0,29102.0,5.2,10.2,9.3,8.7,7.2
1057,Fayette,AL,7957.0,1994.0,5883.0,7912,1803.0,6034.0,6.4,12.5,11.5,10.0,8.0
1059,Franklin,AL,11693.0,3469.0,8048.0,10859,3171.0,7567.0,6.5,12.0,10.0,9.1,8.2
1061,Geneva,AL,11657.0,2134.0,9417.0,11318,2039.0,9173.0,4.8,9.6,8.8,8.1,6.9
1063,Greene,AL,5305.0,4408.0,876.0,5328,4514.0,799.0,7.5,13.7,17.0,13.7,11.4
1065,Hale,AL,8214.0,4982.0,3200.0,8628,5401.0,3205.0,6.5,12.7,13.1,11.7,9.9
1067,Henry,AL,8648.0,3018.0,5585.0,8700,3046.0,5605.0,6.8,10.0,9.2,8.2,7.3
1069,Houston,AL,41735.0,12225.0,29254.0,41843,12348.0,29214.0,4.3,8.3,8.2,7.9,7.0
1071,Jackson,AL,20874.0,6374.0,14083.0,20555,5817.0,14422.0,5.4,11.4,9.5,8.4,7.1
1073,Jefferson,AL,318524.0,166121.0,149921.0,303424,159658.0,141413.0,4.7,9.6,9.2,8.4,6.8
1075,Lamar,AL,7075.0,1614.0,5419.0,7159,1643.0,5453.0,7.0,14.4,12.6,9.5,7.6
1077,Lauderdale,AL,38104.0,13329.0,24068.0,36908,12504.0,23902.0,5.0,9.5,8.6,7.9,6.7
1079,Lawrence,AL,14680.0,5164.0,9277.0,14079,5055.0,8855.0,5.7,12.2,10.8,9.8,8.1
1081,Lee,AL,54325.0,21498.0,32230.0,54115,21274.0,32062.0,4.6,8.4,7.9,7.4,6.3
1083,Limestone,AL,33551.0,9536.0,23598.0,35406,9809.0,25263.0,4.1,8.7,8.0,7.3,6.2
1085,Lowndes,AL,7278.0,5449.0,1809.0,7519,5747.0,1754.0,9.6,17.4,16.0,16.4,14.1
1087,Macon,AL,10877.0,9450.0,1396.0,10385,9045.0,1322.0,6.6,10.9,12.6,12.3,9.8
1089,Madison,AL,152899.0,64117.0,86965.0,154632,61802.0,90679.0,3.6,7.1,7.2,7.4,6.2
1091,Marengo,AL,11471.0,5926.0,5516.0,11509,6154.0,5321.0,6.5,12.7,12.1,11.3,9.4
1093,Marion,AL,12355.0,2600.0,9536.0,12104,2249.0,9696.0,7.0,14.9,13.1,11.0,9.1
1095,Marshall,AL,33166.0,7038.0,25727.0,32455,6271.0,25785.0,4.2,9.0,8.4,8.4,7.0
1097,Mobile,AL,181424.0,82181.0,98049.0,174189,78417.0,94566.0,5.0,10.1,10.0,9.7,8.4
1099,Monroe,AL,11252.0,5025.0,6175.0,10680,4897.0,5730.0,9.0,17.5,16.9,14.9,12.3
1101,Montgomery,AL,104743.0,62166.0,42031.0,101781,62993.0,38283.0,5.2,9.3,9.1,9.1,7.7
1103,Morgan,AL,50542.0,13895.0,36014.0,49198,13401.0,35309.0,4.6,9.6,9.4,8.4,7.0
1105,Perry,AL,6159.0,4457.0,1679.0,6065,4536.0,1504.0,10.0,17.9,15.8,15.7,12.9
1107,Pickens,AL,10067.0,4594.0,5434.0,9599,4448.0,5119.0,6.3,12.2,11.2,10.3,9.0
1109,Pike,AL,13955.0,5879.0,8004.0,14057,6009.0,7939.0,4.3,8.5,8.0,7.6,7.0
1111,Randolph,AL,10384.0,3064.0,7175.0,10391,3076.0,7219.0,6.4,13.3,12.4,10.6,8.9
1113,Russell,AL,18915.0,10085.0,8705.0,18871,10495.0,8276.0,7.0,11.0,10.1,9.7,9.1
1115,St. Clair,AL,34088.0,6091.0,27649.0,35105,5790.0,29001.0,4.4,9.7,9.0,7.9,6.4
1117,Shelby,AL,90643.0,20625.0,69060.0,92204,19944.0,71243.0,3.3,6.9,6.8,6.1,5.0
1119,Sumter,AL,7020.0,5264.0,1731.0,7025,5420.0,1585.0,7.7,13.4,14.2,14.3,11.6
1121,Talladega,AL,34204.0,13779.0,20112.0,33317,13878.0,19217.0,6.3,12.9,11.4,9.9,8.1
1123,Tallapoosa,AL,19311.0,6063.0,13116.0,18668,6252.0,12303.0,6.3,12.1,12.6,11.0,8.5
1125,Tuscaloosa,AL,78912.0,32796.0,45405.0,78495,32003.0,45703.0,4.1,9.1,8.3,7.8,6.6
1127,Walker,AL,28652.0,7420.0,20722.0,28497,6551.0,21633.0,5.0,10.4,10.5,9.1,7.5
1129,Washington,AL,8775.0,3067.0,5654.0,8761,2971.0,5749.0,7.4,13.5,13.0,13.6,11.4
1131,Wilcox,AL,6494.0,4612.0,1868.0,6547,4867.0,1676.0,12.4,23.7,21.0,18.7,16.4
1133,Winston,AL,10031.0,1757.0,8103.0,9712,1286.0,8310.0,7.6,15.9,14.8,12.8,9.8
4001,Apache,AZ,24262.0,15390.0,8551.0,25465,16833.0,8198.0,11.3,15.6,17.0,18.8,19.6
4003,Cochise,AZ,48820.0,18943.0,29026.0,43776,16223.0,26742.0,5.7,7.9,8.8,8.8,8.2
4005,Coconino,AZ,54344.0,31433.0,22186.0,46746,26316.0,19368.0,5.4,8.4,9.7,9.2,8.1
