FIPS,county,state,Election2012Total,Election2012Dem,Election2012Rep,URate2008,URate2009,URate2010,URate2011,URate2012
1001,Autauga,AL,23909.0,6354.0,17366.0,4.5,8.7,7.7,7.8,6.5
1003,Baldwin,AL,84988.0,18329.0,65772.0,4.1,8.7,8.7,8.0,6.8
1005,Barbour,AL,11459.0,5873.0,5539.0,7.7,12.8,11.5,11.0,11.2
1007,Bibb,AL,8391.0,2200.0,6131.0,5.1,11.9,10.1,9.5,7.6
1009,Blount,AL,23980.0,2961.0,20741.0,4.1,8.9,8.8,8.0,6.2
1011,Bullock,AL,5318.0,4058.0,1250.0,9.3,14.0,14.4,14.4,13.4
1013,Butler,AL,9483.0,4367.0,5081.0,7.5,14.7,12.1,11.3,10.9
1015,Calhoun,AL,46240.0,15500.0,30272.0,5.0,9.9,9.5,8.8,7.6
1017,Chambers,AL,14562.0,6853.0,7596.0,12.8,17.7,13.4,10.9,9.3
1019,Cherokee,AL,9761.0,2126.0,7494.0,5.0,10.4,9.1,8.4,7.1
1021,Chilton,AL,17434.0,3391.0,13910.0,4.4,9.5,9.0,8.2,6.5
1023,Choctaw,AL,7965.0,3785.0,4150.0,7.3,12.0,11.1,11.2,9.0
1025,Clarke,AL,13827.0,6317.0,7463.0,7.9,14.8,15.3,14.8,12.1
1027,Clay,AL,6640.0,1770.0,4802.0,7.0,15.0,13.6,11.4,9.3
1029,Cleburne,AL,6302.0,971.0,5269.0,4.5,9.1,8.1,7.9,6.9
1031,Coffee,AL,19715.0,4899.0,14638.0,4.2,7.6,7.3,6.9,6.2
1033,Colbert,AL,23374.0,9160.0,13931.0,5.7,10.4,9.6,8.6,7.6
1035,Conecuh,AL,7013.0,3551.0,3434.0,8.3,17.9,16.0,14.4,11.6
1037,Coosa,AL,5243.0,2188.0,3028.0,7.3,14.4,12.5,10.6,8.2
1039,Covington,AL,15415.0,3155.0,12148.0,5.2,9.6,8.9,8.6,7.5
1041,Crenshaw,AL,6411.0,2048.0,4326.0,4.9,9.3,8.5,8.4,7.2
1043,Cullman,AL,33178.0,4855.0,27930.0,4.3,9.1,8.5,7.8,6.4
