                               Labor Force Data by County, 2006 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2006        24,492       23,792        700      2.9
CN0100300000000   01     003   Baldwin County, AL                                2006        80,033       77,827      2,206      2.8
CN0100500000000   01     005   Barbour County, AL                                2006        10,709       10,184        525      4.9
CN0100700000000   01     007   Bibb County, AL                                   2006         8,873        8,552        321      3.6
CN0100900000000   01     009   Blount County, AL                                 2006        26,875       26,129        746      2.8
CN0101100000000   01     011   Bullock County, AL                                2006         3,687        3,402        285      7.7
CN0101300000000   01     013   Butler County, AL                                 2006         9,240        8,785        455      4.9
CN0101500000000   01     015   Calhoun County, AL                                2006        54,213       52,327      1,886      3.5
CN0101700000000   01     017   Chambers County, AL                               2006        15,751       14,958        793      5.0
CN0101900000000   01     019   Cherokee County, AL                               2006        11,883       11,451        432      3.6
CN0102100000000   01     021   Chilton County, AL                                2006        19,838       19,226        612      3.1
CN0102300000000   01     023   Choctaw County, AL                                2006         5,331        5,074        257      4.8
CN0102500000000   01     025   Clarke County, AL                                 2006        10,256        9,706        550      5.4
CN0102700000000   01     027   Clay County, AL                                   2006         6,195        5,954        241      3.9
CN0102900000000   01     029   Cleburne County, AL                               2006         6,663        6,462        201      3.0
CN0103100000000   01     031   Coffee County, AL                                 2006        20,757       20,091        666      3.2
CN0103300000000   01     033   Colbert County, AL                                2006        25,353       24,339      1,014      4.0
CN0103500000000   01     035   Conecuh County, AL                                2006         5,124        4,875        249      4.9
CN0103700000000   01     037   Coosa County, AL                                  2006         4,797        4,565        232      4.8
CN0103900000000   01     039   Covington County, AL                              2006        17,247       16,674        573      3.3
CN0104100000000   01     041   Crenshaw County, AL                               2006         6,614        6,387        227      3.4
CN0104300000000   01     043   Cullman County, AL                                2006        39,520       38,360      1,160      2.9
CN0104500000000   01     045   Dale County, AL                                   2006        20,518       19,693        825      4.0
CN0104700000000   01     047   Dallas County, AL                                 2006        15,849       14,721      1,128      7.1
CN0104900000000   01     049   DeKalb County, AL                                 2006        31,572       30,440      1,132      3.6
